Symbol,Weight
KVUE,0.0009208969733477936
NXPI,0.0009168165205828818
DFS,0.0008973990825487364
AXON,0.0008950632897448054
TGT,0.0008872703057033519
FIS,0.0008673915246416236
NDAQ,0.0008652817407519769
MSCI,0.0008648598178838622
CTVA,0.0008573665118289036
EW,0.0008559061856633131
XEL,0.000851086414165665
PSX,0.0008508580315643588
VRSK,0.0008477847002929577
MPC,0.0008471670330200857
PEG,0.0008461310034096316
ED,0.0008446544853075713
YUM,0.000836132101154151
LHX,0.0008356160785505314
HES,0.0008346616020441814
FANG,0.0008310655509807781
TEL,0.0008240516449296751
OXY,0.0008120910598997972
OTIS,0.0008102319543145539
PWR,0.0008035145895920957
DHI,0.0007982027019101185
CMI,0.0007957019378581763
F,0.0007942170270770035
PCG,0.000793261618050752
VST,0.0007929375249977477
